probeset_id Sample1 Sample2 Sample3 Sample4 Sample5 Sample6 Sample7 Sample8 Sample9 Sample10
AX-95696335-A 66.3874464512173 18.2010378531364 104.790821557705 105.118016301616 104.505236093238 102.559716462776 118.80893908367 102.848765456877 33.7860319500657 97.3453423213813
AX-76690965-B 21.9572800945105 7.40628821604063 11.772518304635 53.0069887226575 0.853201438680372 70.2099385674364 15.6598214469743 91.1321072866535 3.41638868396032 3.82747787367241
AX-83704427-A 12.368064377777 49.1202632881599 110.625211078317 99.0378322379662 98.9612292540074 46.4433085796296 62.6580543762842 106.543787829822 105.964028902339 91.5096310837433
AX-50778632-B 4.73308596028457 17.5428384450023 5.80542666960866 4.02278655554288 2.40191243455007 52.2366614372915 35.4816267141515 21.5696664486141 123.018370965801 7.95437841851108
AX-52238885-A 97.6837436171928 116.197898775349 96.7995579152195 92.523135185605 5.57330404548488 107.16436306842 7.08611504674605 12.7574391573156 109.580757731123 96.3996721236615
AX-36184579-B 60.8846612257385 16.1779901868825 46.7767830666783 12.3996682227439 10.0071255402423 10.858036020649 59.4447596501251 2.27809845307979 74.499855151722 87.0202958147035
AX-16417510-A 95.8558029365811 37.7494376535659 64.8344504649836 16.293676406511 96.6285614374161 10.642843385415 13.5328728640478 53.3093247067837 62.2789365442077 93.0859726559215
AX-57568473-B 5.54261946880064 14.776623073287 12.1367016249956 101.987387863235 6.36042171493786 4.08765535806703 11.9955186744743 5.78490110024898 94.7691619081263 9.74157907384422
AX-31316686-A 15.9333040061333 51.0052239837506 64.667226423107 60.5635130891733 94.7577654178311 96.8119922351157 13.0958060880387 61.416558032803 113.828388685776 -0.899411363970934
AX-27649021-B 9.65653173217505 42.3574005220085 12.7325867772804 82.5263709155908 94.9527713722529 5.48171219404464 10.0096566512346 119.171889911529 54.1988201347649 38.3224964444907
AX-21995709-A 80.8671293726306 86.4989313679359 1.7656168411574 101.290854011655 103.754493602794 48.9381239901269 62.7795916865865 111.059678057862 36.7553885417945 70.7910159606188
AX-10249731-B 18.5216469891355 56.4298737820823 61.8046753142577 12.225225179265 102.535915044169 11.6932059510141 116.063475239195 14.8572445018188 6.22549927033705 8.04594999457381
AX-90939959-A 8.3367134043324 9.57327008155715 102.274794430271 96.9675386173825 48.4111668311122 101.976336259169 105.290555254928 99.7670318390833 9.74975369504237 15.7443140627266
