Name	Chr	Position
AX-86754619	1	259429
AX-86766323	1	262053
AX-86758883	1	348740
AX-86813556	1	369202
AX-86776501	1	369978
AX-86775353	1	503289
AX-86753569	1	753754
AX-86808595	1	1585483
AX-86762164	1	1585793
AX-86762208	1	1593037
AX-86762651	1	1646030
AX-86789533	1	1697567
AX-86764853	1	2183370
AX-86820010	1	2236990
AX-86765007	1	2268368
AX-86781897	1	4058001
AX-86789385	1	4059486
AX-86800639	1	4076197
AX-86810100	1	4099343
AX-86768030	1	4321915
AX-86810996	1	4367452
AX-86768085	1	4433608
AX-86779396	1	4743191
AX-86796268	1	4898611
AX-86793396	1	4931820
AX-86776938	1	4933667
AX-86818544	1	5442282
AX-86800059	1	5446474
AX-86797285	1	5461908
AX-86812689	1	6402969
AX-86815968	1	6420390
AX-86808594	1	6432258
AX-86798930	1	6511701
AX-86760476	1	6860002
AX-86766591	1	7763118
AX-86784062	1	8067873
AX-86773340	1	8413966
AX-86767371	1	8666158
AX-86820192	1	9520693
AX-86794678	1	10579499
AX-86776676	1	10583229
AX-86786825	1	10591168
AX-86801695	1	10591798
AX-86758492	1	10875730
AX-86788011	1	12581783
AX-86763270	1	12661078
AX-86819842	1	12707329
AX-86814103	1	13880008
AX-86809542	1	14727669
AX-86782366	1	16164640
AX-86757246	1	16737965
AX-86781361	1	16740180
AX-86780622	1	16751745
AX-86818165	1	17190097
AX-86792993	1	17459397
AX-86767565	1	17980377
AX-86820173	1	17983032
AX-86798037	1	17987817
AX-86812818	1	18332029
AX-86769232	1	19331321
AX-86761639	1	19374701
AX-86796265	1	19584347
AX-86794094	1	19797030
AX-86802170	1	20072242
AX-86808255	1	20129587
AX-86818442	1	20236298
AX-86801250	1	20275831
AX-86820263	1	20890372
AX-86801265	1	20898625
AX-86815953	1	21555546
AX-86775239	1	21762416
AX-86804567	1	22472395
AX-86817938	1	22474833
AX-86803632	1	22680321
AX-86780744	1	23046528
AX-86803425	1	23417476
AX-86806612	1	24146453
AX-86764142	1	24168505
AX-86759515	1	24275784
AX-86819115	1	24286045
AX-86805770	1	24514349
AX-86820409	1	24665199
AX-86779507	1	24728327
AX-86816651	1	24728471
AX-86760292	1	25152146
AX-86782264	1	25338971
AX-86772587	1	25421504
